id,censored,time,how_end,sex,race,age,education,parent
4608,FALSE,1.1666666666666667,Legally Separated,Female,White or Other,23.916666666666668,High school,TRUE
4612,TRUE,0.75,Censored,Female,White or Other,32.25,College,FALSE
4613,FALSE,0.8333333333333334,Legally Separated,Male,White or Other,27.416666666666668,High school,TRUE
4614,TRUE,16.75,Censored,Male,Hispanic,24.916666666666668,High school,TRUE
4616,TRUE,15.75,Censored,Male,White or Other,25.833333333333332,Less than high school,FALSE
4618,FALSE,8.333333333333334,Legally Separated,Female,White or Other,32.5,High school,TRUE
4619,FALSE,1.5833333333333333,Divorced,Female,White or Other,30.75,High school,FALSE
4620,FALSE,6.916666666666667,Divorced,Female,White or Other,21.083333333333332,Less than high school,FALSE
4621,TRUE,13.333333333333334,Censored,Female,Black,27.75,High school,FALSE
4622,FALSE,2.5833333333333335,Divorced,Male,White or Other,22.75,High school,FALSE
4623,TRUE,10.25,Censored,Male,White or Other,31.083333333333332,High school,FALSE
4624,FALSE,4.333333333333333,Divorced,Male,White or Other,35.833333333333336,Less than high school,TRUE
4626,TRUE,6.916666666666667,Censored,Female,White or Other,34.333333333333336,High school,TRUE
4628,FALSE,6.583333333333333,Divorced,Female,White or Other,18.333333333333332,High school,FALSE
4629,TRUE,2.75,Censored,Male,White or Other,38.833333333333336,College,FALSE
4630,TRUE,16.75,Censored,Female,White or Other,24.666666666666668,High school,FALSE
