id,sex,race,outcome,time,censored
105,Male,White or Other,educ_hs,20.583333333333332,FALSE
105,Male,White or Other,educ_ba,41.583333333333336,TRUE
105,Male,White or Other,married,27.583333333333332,FALSE
105,Male,White or Other,parent,28.75,FALSE
106,Male,White or Other,educ_hs,18.5,FALSE
106,Male,White or Other,educ_ba,28,TRUE
106,Male,White or Other,married,28,TRUE
106,Male,White or Other,parent,28,TRUE
107,Female,White or Other,educ_hs,19.666666666666668,FALSE
107,Female,White or Other,educ_ba,23.5,FALSE
107,Female,White or Other,married,32.083333333333336,FALSE
107,Female,White or Other,parent,33.166666666666664,FALSE
108,Male,White or Other,educ_hs,21.416666666666668,FALSE
108,Male,White or Other,educ_ba,25.333333333333332,FALSE
108,Male,White or Other,married,33.333333333333336,FALSE
108,Male,White or Other,parent,40.333333333333336,FALSE
109,Female,White or Other,educ_hs,20.083333333333332,FALSE
109,Female,White or Other,educ_ba,24,FALSE
109,Female,White or Other,married,30.833333333333332,FALSE
109,Female,White or Other,parent,31.833333333333332,FALSE
110,Female,White or Other,educ_hs,22,FALSE
110,Female,White or Other,educ_ba,25.583333333333332,FALSE
110,Female,White or Other,married,31.083333333333332,FALSE
110,Female,White or Other,parent,33.666666666666664,FALSE
111,Female,White or Other,educ_hs,19.333333333333332,FALSE
111,Female,White or Other,educ_ba,24.25,FALSE
111,Female,White or Other,married,35.666666666666664,FALSE
111,Female,White or Other,parent,41.666666666666664,TRUE
112,Female,White or Other,educ_hs,21.833333333333332,FALSE
112,Female,White or Other,educ_ba,25.75,FALSE
112,Female,White or Other,married,42.083333333333336,TRUE
112,Female,White or Other,parent,42.083333333333336,TRUE
113,Male,White or Other,educ_hs,21.833333333333332,FALSE
113,Male,White or Other,educ_ba,41.666666666666664,TRUE
113,Male,White or Other,married,41.666666666666664,TRUE
113,Male,White or Other,parent,27.166666666666668,FALSE
114,Female,White or Other,educ_hs,19.75,FALSE
114,Female,White or Other,educ_ba,29.916666666666668,FALSE
114,Female,White or Other,married,36.166666666666664,FALSE
114,Female,White or Other,parent,35.75,FALSE
115,Female,Hispanic,educ_hs,21.416666666666668,FALSE
115,Female,Hispanic,educ_ba,39.25,TRUE
115,Female,Hispanic,married,39.25,TRUE
115,Female,Hispanic,parent,39.25,TRUE
116,Male,Black,educ_hs,22.333333333333332,FALSE
116,Male,Black,educ_ba,38.916666666666664,TRUE
116,Male,Black,married,38.916666666666664,TRUE
116,Male,Black,parent,21.416666666666668,FALSE
117,Male,Black,educ_hs,22.333333333333332,FALSE
117,Male,Black,educ_ba,41.5,TRUE
117,Male,Black,married,41.5,TRUE
117,Male,Black,parent,41.5,TRUE
118,Male,White or Other,educ_hs,18,FALSE
118,Male,White or Other,educ_ba,23.916666666666668,FALSE
118,Male,White or Other,married,28.666666666666668,TRUE
118,Male,White or Other,parent,28.666666666666668,TRUE
119,Male,White or Other,educ_hs,19.583333333333332,FALSE
119,Male,White or Other,educ_ba,24.083333333333332,FALSE
119,Male,White or Other,married,31.583333333333332,FALSE
119,Male,White or Other,parent,34.5,FALSE
120,Male,White or Other,educ_hs,19.833333333333332,FALSE
120,Male,White or Other,educ_ba,23.75,FALSE
120,Male,White or Other,married,41.333333333333336,TRUE
120,Male,White or Other,parent,41.333333333333336,TRUE
121,Male,White or Other,educ_hs,19.416666666666668,FALSE
121,Male,White or Other,educ_ba,41.25,TRUE
121,Male,White or Other,married,29.916666666666668,FALSE
121,Male,White or Other,parent,32.583333333333336,FALSE
122,Male,White or Other,educ_hs,21.666666666666668,FALSE
122,Male,White or Other,educ_ba,41.583333333333336,TRUE
122,Male,White or Other,married,36.916666666666664,FALSE
122,Male,White or Other,parent,36.833333333333336,FALSE
123,Male,White or Other,educ_hs,17,TRUE
123,Male,White or Other,educ_ba,17,TRUE
123,Male,White or Other,married,17,TRUE
123,Male,White or Other,parent,17,TRUE
124,Male,White or Other,educ_hs,16.833333333333332,TRUE
124,Male,White or Other,educ_ba,16.833333333333332,TRUE
124,Male,White or Other,married,16.833333333333332,TRUE
124,Male,White or Other,parent,16.833333333333332,TRUE
125,Female,White or Other,educ_hs,21.666666666666668,FALSE
125,Female,White or Other,educ_ba,25.666666666666668,FALSE
125,Female,White or Other,married,41.666666666666664,TRUE
125,Female,White or Other,parent,41.666666666666664,TRUE
